intermediate                                                IEZ16_RS25785   -         -         -          -         71493   71778   -     
intermediate                                                IEZ16_RS25790   -         -         -          -         71886   71959   -     
intermediate                                                IEZ16_RS25795   -         -         -          -         72198   73425   +     
intermediate                                                IEZ16_RS25800   -         -         -          -         73550   74582   +     
intermediate                                                IEZ16_RS25805   -         -         -          -         75020   76076   -     
intermediate                                                IEZ16_RS25810   -         -         -          -         76168   76549   -     
intermediate                                                IEZ16_RS25815   -         -         -          -         76586   78059   -     
intermediate                                                IEZ16_RS25820   -         -         -          -         78174   78768   -     
intermediate                                                IEZ16_RS25825   -         -         -          -         78833   79439   -     
intermediate                                                IEZ16_RS25830   -         -         -          -         79503   80328   +     
intermediate                                                IEZ16_RS25835   -         -         -          -         80427   80856   -     
intermediate                                                IEZ16_RS25840   -         -         -          -         80861   81314   -     
intermediate                                                IEZ16_RS25845   -         -         -          -         81409   81574   -     
intermediate                                                IEZ16_RS25850   -         -         -          -         81665   81738   -     
intermediate                                                IEZ16_RS25855   -         -         -          -         81784   81857   -     
intermediate                                                IEZ16_RS25860   -         -         -          -         82082   83387   +     
intermediate                                                IEZ16_RS25865   -         -         -          -         83491   84148   +     
intermediate                                                IEZ16_RS43225   -         -         -          -         84154   84376   -     
intermediate                                                IEZ16_RS25870   -         -         -          -         84444   86406   -     
intermediate                                                IEZ16_RS43230   -         -         -          -         86421   87345   -     
intermediate                                                IEZ16_RS25875   -         -         -          -         87786   88275   +     
intermediate                                                IEZ16_RS25880   -         -         -          -         88382   88649   -     
intermediate                                                IEZ16_RS25885   -         -         -          -         88788   90033   +     
intermediate                                                IEZ16_RS25890   -         -         -          -         90111   90705   -     
intermediate                                                IEZ16_RS25895   -         -         -          -         90802   91219   -     
intermediate                                                IEZ16_RS25900   -         -         -          -         91215   92079   -     
intermediate                                                IEZ16_RS25905   -         -         -          -         92305   93853   -     
intermediate                                                IEZ16_RS25910   -         -         -          -         93849   95454   -     
intermediate                                                IEZ16_RS25915   -         -         -          -         95460   97455   -     
intermediate                                                IEZ16_RS25920   -         -         -          -         97451   97844   -     
intermediate                                                IEZ16_RS25925   -         -         -          -         97843   98437   -     
intermediate                                                IEZ16_RS25930   -         -         -          -         98433   99027   -     
intermediate                                                IEZ16_RS25935   -         -         -          -         99026   99995   -     
intermediate                                                IEZ16_RS25940   -         -         -          -         99991   101362  -     
intermediate                                                IEZ16_RS25945   -         -         -          -         101358  102033  -     
intermediate                                                IEZ16_RS25950   -         -         -          -         102023  102464  -     
intermediate                                                IEZ16_RS25955   -         -         -          -         102659  103886  +     
intermediate                                                IEZ16_RS25960   -         -         -          -         104000  105368  +     
intermediate                                                IEZ16_RS25965   -         -         -          -         105708  106380  +     
streptomyces_coelicolor_EG_Tu                               WP_011029795.1  100       100       0          805       156416  157610  -     
streptomyces_coelicolor_EF_G                                WP_003974302.1  100       100       0          1448      157783  159910  -     
streptomyces_coelicolor_30s_ribosomal_protein_S7            WP_003974303.1  100       100       1.23e-112  314       159949  160420  -     
streptomyces_coelicolor_RpoC                                WP_003974308.1  100       100       0          2659      164045  167945  -     
streptomyces_coelicolor_50s_ribosomal_protein_L7/L12        WP_003974310.1  100       100       6.14e-83   237       172117  172501  -     
streptomyces_coelicolor_transcription_antitermination_NUSG  WP_011029791.1  100       100       0          591       176925  177828  -     


Streptomyces anthocyanicus JCM 4739
===================================
NZ_BMVQ01000011.1
-----------------
Cluster 3, score 9.6054:
Query                                                       Subject         Identity  Coverage  E-value    Bitscore  Start   End     Strand
intermediate                                                IE283_RS27800   -         -         -          -         0       511     -     
intermediate                                                IE283_RS27805   -         -         -          -         650     1157    -     
intermediate                                                IE283_RS27810   -         -         -          -         1351    2374    -     
intermediate                                                IE283_RS27815   -         -         -          -         2505    2910    -     
intermediate                                                IE283_RS27820   -         -         -          -         2977    3358    -     
intermediate                                                IE283_RS27825   -         -         -          -         3546    3660    -     
intermediate                                                IE283_RS27830   -         -         -          -         3728    3950    -     
intermediate                                                IE283_RS27835   -         -         -          -         4091    4928    -     
intermediate                                                IE283_RS27840   -         -         -          -         5079    5733    -     
intermediate                                                IE283_RS27845   -         -         -          -         5732    7046    -     
intermediate                                                IE283_RS27850   -         -         -          -         7302    7758    -     
intermediate                                                IE283_RS27855   -         -         -          -         7760    7943    -     
intermediate                                                IE283_RS27860   -         -         -          -         7945    8551    -     
intermediate                                                IE283_RS27865   -         -         -          -         8594    8978    -     
intermediate                                                IE283_RS27870   -         -         -          -         8981    9521    -     
intermediate                                                IE283_RS27875   -         -         -          -         9545    9944    -     
intermediate                                                IE283_RS27880   -         -         -          -         10155   10341   -     
intermediate                                                IE283_RS27885   -         -         -          -         10346   10904   -     
intermediate                                                IE283_RS27890   -         -         -          -         10903   11227   -     
intermediate                                                IE283_RS27895   -         -         -          -         11229   11598   -     
intermediate                                                IE283_RS27900   -         -         -          -         11705   11993   -     
intermediate                                                IE283_RS27905   -         -         -          -         11992   12217   -     
intermediate                                                IE283_RS27910   -         -         -          -         12216   12636   -     
intermediate                                                IE283_RS27915   -         -         -          -         12641   13475   -     
intermediate                                                IE283_RS27920   -         -         -          -         13474   13822   -     
intermediate                                                IE283_RS27925   -         -         -          -         13864   14146   -     
intermediate                                                IE283_RS27930   -         -         -          -         14158   14995   -     
intermediate                                                IE283_RS27935   -         -         -          -         15035   15455   -     
intermediate                                                IE283_RS27940   -         -         -          -         15454   16114   -     
intermediate                                                IE283_RS27945   -         -         -          -         16122   16767   -     
intermediate                                                IE283_RS27950   -         -         -          -         16783   17092   -     
intermediate                                                IE283_RS27955   -         -         -          -         17592   18042   -     
intermediate                                                IE283_RS27960   -         -         -          -         18062   22451   -     
intermediate                                                IE283_RS27965   -         -         -          -         22653   23121   -     
intermediate                                                IE283_RS27970   -         -         -          -         23151   24009   -     
intermediate                                                IE283_RS27975   -         -         -          -         24108   24756   -     
intermediate                                                IE283_RS27980   -         -         -          -         24847   25699   -     
intermediate                                                IE283_RS27985   -         -         -          -         25808   26141   -     
intermediate                                                IE283_RS27990   -         -         -          -         26641   26998   +     
intermediate                                                IE283_RS27995   -         -         -          -         27049   27409   +     
intermediate                                                IE283_RS28000   -         -         -          -         27444   27756   -     
intermediate                                                IE283_RS28005   -         -         -          -         27801   29196   -     
intermediate                                                IE283_RS28010   -         -         -          -         29411   29615   -     
intermediate                                                IE283_RS28015   -         -         -          -         29963   31322   -     
intermediate                                                IE283_RS28020   -         -         -          -         31496   31706   -     
intermediate                                                IE283_RS28025   -         -         -          -         31707   32466   -     
intermediate                                                IE283_RS28030   -         -         -          -         32543   33452   +     
intermediate                                                IE283_RS28035   -         -         -          -         33402   33594   -     
intermediate                                                IE283_RS28040   -         -         -          -         33590   34439   -     
intermediate                                                IE283_RS28045   -         -         -          -         34551   34986   +     
intermediate                                                IE283_RS28050   -         -         -          -         35234   36107   +     
intermediate                                                IE283_RS28055   -         -         -          -         36124   37021   +     
intermediate                                                IE283_RS28060   -         -         -          -         37033   37426   -     
intermediate                                                IE283_RS28065   -         -         -          -         37500   38502   +     
intermediate                                                IE283_RS28070   -         -         -          -         38506   40276   +     
intermediate                                                IE283_RS28075   -         -         -          -         40361   41309   +     
intermediate                                                IE283_RS28080   -         -         -          -         41445   42822   +     
intermediate                                                IE283_RS28085   -         -         -          -         42906   44046   -     
intermediate                                                IE283_RS28090   -         -         -          -         44213   44846   -     
intermediate                                                IE283_RS28095   -         -         -          -         44845   46141   -     
intermediate                                                IE283_RS28100   -         -         -          -         46311   47052   +     
intermediate                                                IE283_RS28105   -         -         -          -         47045   49527   +     
intermediate                                                IE283_RS28110   -         -         -          -         49658   50012   +     
intermediate                                                IE283_RS28115   -         -         -          -         50001   51195   -     
intermediate                                                IE283_RS28120   -         -         -          -         51368   53495   -     
intermediate                                                IE283_RS28125   -         -         -          -         53534   54005   -     
intermediate                                                IE283_RS28130   -         -         -          -         54007   54379   -     
intermediate                                                IE283_RS28135   -         -         -          -         54634   55672   -     
intermediate                                                IE283_RS28140   -         -         -          -         55772   57068   +     
intermediate                                                IE283_RS28145   -         -         -          -         57037   57673   -     
intermediate                                                IE283_RS28150   -         -         -          -         57781   61681   -     
intermediate                                                IE283_RS28155   -         -         -          -         61778   65264   -     
intermediate                                                IE283_RS28160   -         -         -          -         65853   66237   -     
intermediate                                                IE283_RS28165   -         -         -          -         66354   66885   -     
intermediate                                                IE283_RS28170   -         -         -          -         67203   68052   -     
intermediate                                                IE283_RS28175   -         -         -          -         68201   69059   -     
intermediate                                                IE283_RS28180   -         -         -          -         69231   69957   -     
intermediate                                                IE283_RS28185   -         -         -          -         70040   70475   -     
intermediate                                                IE283_RS28190   -         -         -          -         70662   71565   -     
intermediate                                                IE283_RS28195   -         -         -          -         71645   71930   -     
intermediate                                                IE283_RS28200   -         -         -          -         72038   72111   -     
intermediate                                                IE283_RS28205   -         -         -          -         72350   73577   +     
intermediate                                                IE283_RS28210   -         -         -          -         73702   74734   +     
intermediate                                                IE283_RS28215   -         -         -          -         75186   76242   -     
intermediate                                                IE283_RS28220   -         -         -          -         76334   76715   -     
intermediate                                                IE283_RS28225   -         -         -          -         76752   78225   -     
intermediate                                                IE283_RS28230   -         -         -          -         78340   78934   -     
intermediate                                                IE283_RS28235   -         -         -          -         78999   79605   -     
intermediate                                                IE283_RS28240   -         -         -          -         79669   80494   +     
intermediate                                                IE283_RS28245   -         -         -          -         80593   81022   -     
intermediate                                                IE283_RS28250   -         -         -          -         81027   81480   -     
intermediate                                                IE283_RS28255   -         -         -          -         81575   81740   -     
intermediate                                                IE283_RS28260   -         -         -          -         81831   81904   -     
intermediate                                                IE283_RS28265   -         -         -          -         81950   82023   -     
intermediate                                                IE283_RS28270   -         -         -          -         82248   83553   +     
intermediate                                                IE283_RS28275   -         -         -          -         83657   84314   +     
intermediate                                                IE283_RS39860   -         -         -          -         84320   84542   -     
intermediate                                                IE283_RS28280   -         -         -          -         84610   87511   -     
intermediate                                                IE283_RS28285   -         -         -          -         87952   88441   +     
intermediate                                                IE283_RS28290   -         -         -          -         88548   88815   -     
intermediate                                                IE283_RS28295   -         -         -          -         88954   90199   +     
intermediate                                                IE283_RS28300   -         -         -          -         90277   90871   -     
intermediate                                                IE283_RS28305   -         -         -          -         90968   91385   -     
intermediate                                                IE283_RS28310   -         -         -          -         91381   92245   -     
intermediate                                                IE283_RS28315   -         -         -          -         92471   94019   -     
intermediate                                                IE283_RS28320   -         -         -          -         94015   95620   -     
intermediate                                                IE283_RS28325   -         -         -          -         95626   97621   -     
intermediate                                                IE283_RS28330   -         -         -          -         97617   98010   -     
intermediate                                                IE283_RS28335   -         -         -          -         98009   98603   -     
intermediate                                                IE283_RS28340   -         -         -          -         98599   99193   -     
intermediate                                                IE283_RS28345   -         -         -          -         99192   100161  -     
intermediate                                                IE283_RS28350   -         -         -          -         100157  101519  -     
intermediate                                                IE283_RS28355   -         -         -          -         101515  102172  -     
intermediate                                                IE283_RS28360   -         -         -          -         102162  102603  -     
intermediate                                                IE283_RS28365   -         -         -          -         102798  104025  +     
intermediate                                                IE283_RS28370   -         -         -          -         104138  105506  +     
intermediate                                                IE283_RS28375   -         -         -          -         105841  106513  +     
intermediate                                                IE283_RS28380   -         -         -          -         106852  107044  +     
streptomyces_coelicolor_EG_Tu                               WP_011029795.1  100       100       0          805       260847  262041  -     
streptomyces_coelicolor_EF_G                                WP_003974302.1  100       100       0          1448      262214  264341  -     
streptomyces_coelicolor_30s_ribosomal_protein_S7            WP_003974303.1  100       100       1.23e-112  314       264380  264851  -     
streptomyces_coelicolor_RpoC                                WP_003974308.1  100       100       0          2659      268627  272527  -     
streptomyces_coelicolor_50s_ribosomal_protein_L7/L12        WP_003974310.1  100       100       6.14e-83   237       276699  277083  -     
streptomyces_coelicolor_transcription_antitermination_NUSG  WP_011029791.1  100       100       0          591       281508  282411  -     


Streptomyces anthocyanicus JCM 5058
===================================
NZ_BMWI01000012.1
-----------------
Cluster 5, score 9.6054:
Query                                                       Subject         Identity  Coverage  E-value    Bitscore  Start   End     Strand
intermediate                                                IE253_RS23995   -         -         -          -         0       437     -     
intermediate                                                IE253_RS24000   -         -         -          -         776     1448    -     
intermediate                                                IE253_RS24005   -         -         -          -         1783    3151    -     
intermediate                                                IE253_RS24010   -         -         -          -         3264    4491    -     
intermediate                                                IE253_RS24015   -         -         -          -         4686    5127    +     
intermediate                                                IE253_RS24020   -         -         -          -         5096    5834    +     
intermediate                                                IE253_RS24025   -         -         -          -         5830    7192    +     
intermediate                                                IE253_RS24030   -         -         -          -         7188    8157    +     
intermediate                                                IE253_RS24035   -         -         -          -         8156    8750    +     
intermediate                                                IE253_RS24040   -         -         -          -         8746    9340    +     
intermediate                                                IE253_RS24045   -         -         -          -         9339    9732    +     
intermediate                                                IE253_RS24050   -         -         -          -         9728    11723   +     
intermediate                                                IE253_RS24055   -         -         -          -         11729   13334   +     
intermediate                                                IE253_RS24060   -         -         -          -         13330   14878   +     
intermediate                                                IE253_RS24065   -         -         -          -         15104   15968   +     
intermediate                                                IE253_RS24070   -         -         -          -         15964   16381   +     
intermediate                                                IE253_RS24075   -         -         -          -         16478   17072   +     
intermediate                                                IE253_RS24080   -         -         -          -         17150   18395   -     
intermediate                                                IE253_RS24085   -         -         -          -         18534   18801   +     
intermediate                                                IE253_RS24090   -         -         -          -         18908   19397   -     
intermediate                                                IE253_RS24095   -         -         -          -         19838   22739   +     
intermediate                                                IE253_RS37390   -         -         -          -         22807   23029   +     
intermediate                                                IE253_RS24100   -         -         -          -         23035   23692   -     
intermediate                                                IE253_RS24105   -         -         -          -         23796   25101   -     
intermediate                                                IE253_RS24110   -         -         -          -         25326   25399   +     
intermediate                                                IE253_RS24115   -         -         -          -         25445   25518   +     
intermediate                                                IE253_RS24120   -         -         -          -         25609   25774   +     
intermediate                                                IE253_RS24125   -         -         -          -         25869   26322   +     
intermediate                                                IE253_RS24130   -         -         -          -         26327   26756   +     
intermediate                                                IE253_RS24135   -         -         -          -         26855   27680   -     
intermediate                                                IE253_RS24140   -         -         -          -         27744   28350   +     
intermediate                                                IE253_RS24145   -         -         -          -         28415   29009   +     
intermediate                                                IE253_RS24150   -         -         -          -         29140   30613   +     
intermediate                                                IE253_RS24155   -         -         -          -         30650   31031   +     
intermediate                                                IE253_RS24160   -         -         -          -         31123   32179   +     
intermediate                                                IE253_RS24165   -         -         -          -         32607   33639   -     
intermediate                                                IE253_RS24170   -         -         -          -         33764   34991   -     
intermediate                                                IE253_RS24175   -         -         -          -         35230   35303   +     
intermediate                                                IE253_RS24180   -         -         -          -         35411   35696   +     
streptomyces_coelicolor_transcription_antitermination_NUSG  WP_011029791.1  100       100       0          591       35776   36679   +     
intermediate                                                IE253_RS24185   -         -         -          -         35776   36679   +     
intermediate                                                IE253_RS24190   -         -         -          -         36866   37301   +     
intermediate                                                IE253_RS24195   -         -         -          -         37384   38110   +     
intermediate                                                IE253_RS24200   -         -         -          -         38282   39140   +     
intermediate                                                IE253_RS24205   -         -         -          -         39288   40137   +     
intermediate                                                IE253_RS24210   -         -         -          -         40455   40986   +     
streptomyces_coelicolor_50s_ribosomal_protein_L7/L12        WP_003974310.1  100       100       6.14e-83   237       41103   41487   +     
intermediate                                                IE253_RS24215   -         -         -          -         41103   41487   +     
intermediate                                                IE253_RS24220   -         -         -          -         42076   45562   +     
streptomyces_coelicolor_RpoC                                WP_003974308.1  100       100       0          2659      45659   49559   +     
intermediate                                                IE253_RS24225   -         -         -          -         45659   49559   +     
intermediate                                                IE253_RS24230   -         -         -          -         49792   50119   +     
intermediate                                                IE253_RS24235   -         -         -          -         50135   51431   -     
intermediate                                                IE253_RS24240   -         -         -          -         51531   52569   +     
intermediate                                                IE253_RS24245   -         -         -          -         52824   53196   +     
streptomyces_coelicolor_30s_ribosomal_protein_S7            WP_003974303.1  100       100       1.23e-112  314       53198   53669   +     
intermediate                                                IE253_RS24250   -         -         -          -         53198   53669   +     
streptomyces_coelicolor_EF_G                                WP_003974302.1  100       100       0          1448      53708   55835   +     
intermediate                                                IE253_RS24255   -         -         -          -         53708   55835   +     
streptomyces_coelicolor_EG_Tu                               WP_011029795.1  100       100       0          805       56008   57202   +     
intermediate                                                IE253_RS24260   -         -         -          -         56008   57202   +     
intermediate                                                IE253_RS24265   -         -         -          -         57191   57545   -     
intermediate                                                IE253_RS24270   -         -         -          -         57676   60157   -     
intermediate                                                IE253_RS24275   -         -         -          -         60150   60891   -     
intermediate                                                IE253_RS24280   -         -         -          -         61061   62357   +     
intermediate                                                IE253_RS24285   -         -         -          -         62356   62989   +     
intermediate                                                IE253_RS24290   -         -         -          -         63156   64296   +     
intermediate                                                IE253_RS24295   -         -         -          -         64380   65745   -     
intermediate                                                IE253_RS24300   -         -         -          -         65837   66785   -     
